secao,produto
"ARROZ","Arroz Branco Agulhinha"
"ARROZ","Arroz Integral"
"ARROZ","Arroz Parboilizado"
"ARROZ","Arroz Arbóreo"
"ARROZ","Arroz Cateto"
"ARROZ","Arroz Japonês"
"ARROZ","Arroz Basmati"
"ARROZ","Arroz Jasmim"
"ARROZ","Arroz Vermelho"
"ARROZ","Arroz Negro"
"ARROZ","Arroz Preto"
"ARROZ","Arroz Selvagem"
"ARROZ","Arroz Carnaroli"
"ARROZ","Arroz Bomba"
"ARROZ","Arroz Agulhão"
"ARROZ","Arroz Longo Fino"
"FEIJÃO","Feijão Carioca"
"FEIJÃO","Feijão Preto"
"FEIJÃO","Feijão Fradinho"
"FEIJÃO","Feijão de Corda"
"FEIJÃO","Feijão Macassar"
"FEIJÃO","Feijão Branco"
"FEIJÃO","Feijão Vermelho"
"FEIJÃO","Feijão Rajado"
"FEIJÃO","Feijão Mulatinho"
"FEIJÃO","Feijão Jalo"
"FEIJÃO","Feijão Rosinha"
"FEIJÃO","Feijão Roxinho"
"FEIJÃO","Feijão Bolinha"
"FEIJÃO","Feijão Manteiga"
"FEIJÃO","Feijão Azuki"
"FEIJÃO","Feijão Adzuki"
"FEIJÃO","Feijão Cavalo"
"FEIJÃO","Feijão Verde"
"FEIJÃO","Feijão Guandu"
"FEIJÃO","Feijão Andu"
"OUTROS GRÃOS E LEGUMINOSAS","Lentilha"
"OUTROS GRÃOS E LEGUMINOSAS","Grão-de-Bico"
"OUTROS GRÃOS E LEGUMINOSAS","Ervilha Seca"
"OUTROS GRÃOS E LEGUMINOSAS","Ervilha Verde"
"OUTROS GRÃOS E LEGUMINOSAS","Milho Verde"
"OUTROS GRÃOS E LEGUMINOSAS","Milho em Grão"
"OUTROS GRÃOS E LEGUMINOSAS","Quinoa"
"OUTROS GRÃOS E LEGUMINOSAS","Aveia em Flocos"
"OUTROS GRÃOS E LEGUMINOSAS","Aveia em Flocos Fina"
"OUTROS GRÃOS E LEGUMINOSAS","Cevada"
"OUTROS GRÃOS E LEGUMINOSAS","Trigo para Quibe"
"OUTROS GRÃOS E LEGUMINOSAS","Trigo em Grão"
"OUTROS GRÃOS E LEGUMINOSAS","Soja em Grão"
"OUTROS GRÃOS E LEGUMINOSAS","Linhaça"
"OUTROS GRÃOS E LEGUMINOSAS","Chia"
"OUTROS GRÃOS E LEGUMINOSAS","Gergelim"
"OUTROS GRÃOS E LEGUMINOSAS","Amaranto"
"FARINHAS","Farinha de Trigo"
"FARINHAS","Farinha de Trigo Integral"
"FARINHAS","Farinha de Mandioca"
"FARINHAS","Farinha de Milho"
"FARINHAS","Fubá"
"FARINHAS","Farinha de Rosca"
"FARINHAS","Amido de Milho"
"FARINHAS","Maisena"
"FARINHAS","Fécula de Mandioca"
"FARINHAS","Polvilho Doce"
"FARINHAS","Polvilho Azedo"
"FARINHAS","Farinha de Aveia"
"FARINHAS","Farinha de Centeio"
"FARINHAS","Farinha de Arroz"
"FARINHAS","Farinha de Coco"
"FARINHAS","Farinha de Amêndoas"
"FARINHAS","Farinha de Linhaça"
"FARINHAS","Farinha de Rosca Caseira"
"MASSAS","Macarrão Espaguete"
"MASSAS","Macarrão Penne"
"MASSAS","Macarrão Parafuso"
"MASSAS","Macarrão Ninho"
"MASSAS","Macarrão Integral"
"MASSAS","Macarrão de Arroz"
"MASSAS","Macarrão Instantâneo"
"MASSAS","Massa para Lasanha"
"MASSAS","Massa para Pastel"
"MASSAS","Massa para Pizza"
"MASSAS","Nhoque de Batata"
"MASSAS","Nhoque de Mandioca"
"MASSAS","Capeletti"
"MASSAS","Ravioli"
"MASSAS","Canelone"
"MASSAS","Talharim"
"MASSAS","Fettuccine"
"MASSAS","Lasanha Pronta"
"MASSAS","Massa Pronta para Bolo"
"MASSAS","Massa para Bolo de Chocolate"
"MASSAS","Massa para Bolo de Cenoura"
